time,year,month,quarter,day,hour,week,t
07/01/2017 22:00,2017,jan,1,7,22,w1,167
07/01/2017 23:00,2017,jan,1,7,23,w1,168
08/01/2017 00:00,2017,jan,1,8,0,w2,169
08/01/2017 01:00,2017,jan,1,8,1,w2,170
08/01/2017 02:00,2017,jan,1,8,2,w2,171
08/01/2017 03:00,2017,jan,1,8,3,w2,172
08/01/2017 04:00,2017,jan,1,8,4,w2,173
08/01/2017 05:00,2017,jan,1,8,5,w2,174
08/01/2017 06:00,2017,jan,1,8,6,w2,175
08/01/2017 07:00,2017,jan,1,8,7,w2,176
08/01/2017 08:00,2017,jan,1,8,8,w2,177
08/01/2017 09:00,2017,jan,1,8,9,w2,178
08/01/2017 10:00,2017,jan,1,8,10,w2,179
08/01/2017 11:00,2017,jan,1,8,11,w2,180
08/01/2017 12:00,2017,jan,1,8,12,w2,181
08/01/2017 13:00,2017,jan,1,8,13,w2,182
08/01/2017 14:00,2017,jan,1,8,14,w2,183
08/01/2017 15:00,2017,jan,1,8,15,w2,184
08/01/2017 16:00,2017,jan,1,8,16,w2,185
08/01/2017 17:00,2017,jan,1,8,17,w2,186
08/01/2017 18:00,2017,jan,1,8,18,w2,187
08/01/2017 19:00,2017,jan,1,8,19,w2,188
08/01/2017 20:00,2017,jan,1,8,20,w2,189
08/01/2017 21:00,2017,jan,1,8,21,w2,190
08/01/2017 22:00,2017,jan,1,8,22,w2,191
08/01/2017 23:00,2017,jan,1,8,23,w2,192
09/01/2017 00:00,2017,jan,1,9,0,w2,193
09/01/2017 01:00,2017,jan,1,9,1,w2,194
09/01/2017 02:00,2017,jan,1,9,2,w2,195
09/01/2017 03:00,2017,jan,1,9,3,w2,196
09/01/2017 04:00,2017,jan,1,9,4,w2,197
09/01/2017 05:00,2017,jan,1,9,5,w2,198
09/01/2017 06:00,2017,jan,1,9,6,w2,199
09/01/2017 07:00,2017,jan,1,9,7,w2,200
09/01/2017 08:00,2017,jan,1,9,8,w2,201
09/01/2017 09:00,2017,jan,1,9,9,w2,202
09/01/2017 10:00,2017,jan,1,9,10,w2,203
09/01/2017 11:00,2017,jan,1,9,11,w2,204
09/01/2017 12:00,2017,jan,1,9,12,w2,205
09/01/2017 13:00,2017,jan,1,9,13,w2,206
09/01/2017 14:00,2017,jan,1,9,14,w2,207
09/01/2017 15:00,2017,jan,1,9,15,w2,208
09/01/2017 16:00,2017,jan,1,9,16,w2,209
09/01/2017 17:00,2017,jan,1,9,17,w2,210
09/01/2017 18:00,2017,jan,1,9,18,w2,211
09/01/2017 19:00,2017,jan,1,9,19,w2,212
09/01/2017 20:00,2017,jan,1,9,20,w2,213
09/01/2017 21:00,2017,jan,1,9,21,w2,214
09/01/2017 22:00,2017,jan,1,9,22,w2,215
09/01/2017 23:00,2017,jan,1,9,23,w2,216
10/01/2017 00:00,2017,jan,1,10,0,w2,217
10/01/2017 01:00,2017,jan,1,10,1,w2,218
10/01/2017 02:00,2017,jan,1,10,2,w2,219
10/01/2017 03:00,2017,jan,1,10,3,w2,220
10/01/2017 04:00,2017,jan,1,10,4,w2,221
10/01/2017 05:00,2017,jan,1,10,5,w2,222
10/01/2017 06:00,2017,jan,1,10,6,w2,223
10/01/2017 07:00,2017,jan,1,10,7,w2,224
10/01/2017 08:00,2017,jan,1,10,8,w2,225
10/01/2017 09:00,2017,jan,1,10,9,w2,226
10/01/2017 10:00,2017,jan,1,10,10,w2,227
10/01/2017 11:00,2017,jan,1,10,11,w2,228
10/01/2017 12:00,2017,jan,1,10,12,w2,229
10/01/2017 13:00,2017,jan,1,10,13,w2,230
10/01/2017 14:00,2017,jan,1,10,14,w2,231
10/01/2017 15:00,2017,jan,1,10,15,w2,232
10/01/2017 16:00,2017,jan,1,10,16,w2,233
10/01/2017 17:00,2017,jan,1,10,17,w2,234
10/01/2017 18:00,2017,jan,1,10,18,w2,235
10/01/2017 19:00,2017,jan,1,10,19,w2,236
10/01/2017 20:00,2017,jan,1,10,20,w2,237
10/01/2017 21:00,2017,jan,1,10,21,w2,238
10/01/2017 22:00,2017,jan,1,10,22,w2,239
10/01/2017 23:00,2017,jan,1,10,23,w2,240
11/01/2017 00:00,2017,jan,1,11,0,w2,241
11/01/2017 01:00,2017,jan,1,11,1,w2,242
11/01/2017 02:00,2017,jan,1,11,2,w2,243
11/01/2017 03:00,2017,jan,1,11,3,w2,244
11/01/2017 04:00,2017,jan,1,11,4,w2,245
11/01/2017 05:00,2017,jan,1,11,5,w2,246
11/01/2017 06:00,2017,jan,1,11,6,w2,247
11/01/2017 07:00,2017,jan,1,11,7,w2,248
11/01/2017 08:00,2017,jan,1,11,8,w2,249
11/01/2017 09:00,2017,jan,1,11,9,w2,250
11/01/2017 10:00,2017,jan,1,11,10,w2,251
11/01/2017 11:00,2017,jan,1,11,11,w2,252
11/01/2017 12:00,2017,jan,1,11,12,w2,253
11/01/2017 13:00,2017,jan,1,11,13,w2,254
11/01/2017 14:00,2017,jan,1,11,14,w2,255
11/01/2017 15:00,2017,jan,1,11,15,w2,256
11/01/2017 16:00,2017,jan,1,11,16,w2,257
11/01/2017 17:00,2017,jan,1,11,17,w2,258
11/01/2017 18:00,2017,jan,1,11,18,w2,259
11/01/2017 19:00,2017,jan,1,11,19,w2,260
11/01/2017 20:00,2017,jan,1,11,20,w2,261
11/01/2017 21:00,2017,jan,1,11,21,w2,262
11/01/2017 22:00,2017,jan,1,11,22,w2,263
11/01/2017 23:00,2017,jan,1,11,23,w2,264
12/01/2017 00:00,2017,jan,1,12,0,w2,265
12/01/2017 01:00,2017,jan,1,12,1,w2,266
12/01/2017 02:00,2017,jan,1,12,2,w2,267
12/01/2017 03:00,2017,jan,1,12,3,w2,268
12/01/2017 04:00,2017,jan,1,12,4,w2,269
12/01/2017 05:00,2017,jan,1,12,5,w2,270
12/01/2017 06:00,2017,jan,1,12,6,w2,271
12/01/2017 07:00,2017,jan,1,12,7,w2,272
12/01/2017 08:00,2017,jan,1,12,8,w2,273
12/01/2017 09:00,2017,jan,1,12,9,w2,274
12/01/2017 10:00,2017,jan,1,12,10,w2,275
12/01/2017 11:00,2017,jan,1,12,11,w2,276
12/01/2017 12:00,2017,jan,1,12,12,w2,277
12/01/2017 13:00,2017,jan,1,12,13,w2,278
12/01/2017 14:00,2017,jan,1,12,14,w2,279
12/01/2017 15:00,2017,jan,1,12,15,w2,280
12/01/2017 16:00,2017,jan,1,12,16,w2,281
12/01/2017 17:00,2017,jan,1,12,17,w2,282
12/01/2017 18:00,2017,jan,1,12,18,w2,283
12/01/2017 19:00,2017,jan,1,12,19,w2,284
12/01/2017 20:00,2017,jan,1,12,20,w2,285
12/01/2017 21:00,2017,jan,1,12,21,w2,286
12/01/2017 22:00,2017,jan,1,12,22,w2,287
12/01/2017 23:00,2017,jan,1,12,23,w2,288
13/01/2017 00:00,2017,jan,1,13,0,w2,289
13/01/2017 01:00,2017,jan,1,13,1,w2,290
13/01/2017 02:00,2017,jan,1,13,2,w2,291
13/01/2017 03:00,2017,jan,1,13,3,w2,292
13/01/2017 04:00,2017,jan,1,13,4,w2,293
13/01/2017 05:00,2017,jan,1,13,5,w2,294
13/01/2017 06:00,2017,jan,1,13,6,w2,295
13/01/2017 07:00,2017,jan,1,13,7,w2,296
13/01/2017 08:00,2017,jan,1,13,8,w2,297
13/01/2017 09:00,2017,jan,1,13,9,w2,298
13/01/2017 10:00,2017,jan,1,13,10,w2,299
13/01/2017 11:00,2017,jan,1,13,11,w2,300
13/01/2017 12:00,2017,jan,1,13,12,w2,301
13/01/2017 13:00,2017,jan,1,13,13,w2,302
13/01/2017 14:00,2017,jan,1,13,14,w2,303
13/01/2017 15:00,2017,jan,1,13,15,w2,304
13/01/2017 16:00,2017,jan,1,13,16,w2,305
13/01/2017 17:00,2017,jan,1,13,17,w2,306
13/01/2017 18:00,2017,jan,1,13,18,w2,307
13/01/2017 19:00,2017,jan,1,13,19,w2,308
13/01/2017 20:00,2017,jan,1,13,20,w2,309
13/01/2017 21:00,2017,jan,1,13,21,w2,310
13/01/2017 22:00,2017,jan,1,13,22,w2,311
13/01/2017 23:00,2017,jan,1,13,23,w2,312
14/01/2017 00:00,2017,jan,1,14,0,w2,313
14/01/2017 01:00,2017,jan,1,14,1,w2,314
14/01/2017 02:00,2017,jan,1,14,2,w2,315
14/01/2017 03:00,2017,jan,1,14,3,w2,316
14/01/2017 04:00,2017,jan,1,14,4,w2,317
14/01/2017 05:00,2017,jan,1,14,5,w2,318
14/01/2017 06:00,2017,jan,1,14,6,w2,319
14/01/2017 07:00,2017,jan,1,14,7,w2,320
14/01/2017 08:00,2017,jan,1,14,8,w2,321
14/01/2017 09:00,2017,jan,1,14,9,w2,322
