,scenario,year,climateyear,country_sym,technology,GWh
990,Historic,2017,2017,PT,RoR,3432.6598
991,Historic,2017,2017,PT,Solar,843.1192
992,Historic,2017,2017,PT,WindOn,11972.5969
1031,Historic,2017,2017,RO,Biomass,416.08077
1032,Historic,2017,2017,RO,Coal,1413.09564
1033,Historic,2017,2017,RO,Dam,4662.58822
1034,Historic,2017,2017,RO,Gas,10669.06586
1035,Historic,2017,2017,RO,Lignite,15754.609
1036,Historic,2017,2017,RO,Nuclear,11494.2899
1037,Historic,2017,2017,RO,RoR,9875.88632
1038,Historic,2017,2017,RO,Solar,1359.20487
1039,Historic,2017,2017,RO,WindOn,7294.03982
1076,Historic,2017,2017,SE,Dam,65024.326
1077,Historic,2017,2017,SE,Nuclear,63030.288
1078,Historic,2017,2017,SE,Other,8180.867
1079,Historic,2017,2017,SE,WindOn,17307.527
1096,Historic,2017,2017,SI,Biomass,80.49614
1097,Historic,2017,2017,SI,Gas,269.64715
1098,Historic,2017,2017,SI,Lignite,4335.89176
1099,Historic,2017,2017,SI,Nuclear,5964.51979
1100,Historic,2017,2017,SI,Oil,1.49961
1101,Historic,2017,2017,SI,Other,105.19346
1102,Historic,2017,2017,SI,PSP,270.41107
1103,Historic,2017,2017,SI,RoR,3750.17451
1104,Historic,2017,2017,SI,Solar,290.69212
1105,Historic,2017,2017,SI,WindOn,4.77983
1146,Historic,2017,2017,SK,Biomass,423.7117
1147,Historic,2017,2017,SK,Coal,706.1945
1148,Historic,2017,2017,SK,Dam,129.19854
1149,Historic,2017,2017,SK,Gas,1152.822
1150,Historic,2017,2017,SK,Lignite,1568.697
1151,Historic,2017,2017,SK,Nuclear,14943.3026
1152,Historic,2017,2017,SK,Oil,417.5971
1153,Historic,2017,2017,SK,Other,3550.0528
1154,Historic,2017,2017,SK,PSP,264.08121
1155,Historic,2017,2017,SK,RoR,3785.27753
1156,Historic,2017,2017,SK,Solar,516.3105
1157,Historic,2017,2017,SK,WindOn,0
10,Historic,2018,2018,AT,Biomass,2575.101
11,Historic,2018,2018,AT,Coal,1422.4272
12,Historic,2018,2018,AT,Dam,4650.85
13,Historic,2018,2018,AT,Gas,8168.0427
14,Historic,2018,2018,AT,Oil,0
15,Historic,2018,2018,AT,Other,1069.3332
16,Historic,2018,2018,AT,PSP,4696.4623
17,Historic,2018,2018,AT,RoR,25363.0446
18,Historic,2018,2018,AT,Solar,1423.551407
19,Historic,2018,2018,AT,WindOn,6395.574053
61,Historic,2018,2018,BE,Biomass,2619.77955
62,Historic,2018,2018,BE,Coal,0
63,Historic,2018,2018,BE,Gas,22303.64199
64,Historic,2018,2018,BE,Nuclear,27248.81899
65,Historic,2018,2018,BE,Oil,4.39118
66,Historic,2018,2018,BE,Other,7591.28675
67,Historic,2018,2018,BE,PSP,999.65185
68,Historic,2018,2018,BE,RoR,163.2162
69,Historic,2018,2018,BE,Solar,3552.006
70,Historic,2018,2018,BE,WindOff,3320.75826
71,Historic,2018,2018,BE,WindOn,2960.55343
114,Historic,2018,2018,BG,Biomass,256.229
115,Historic,2018,2018,BG,Coal,593.412
116,Historic,2018,2018,BG,Dam,3412.765
117,Historic,2018,2018,BG,Gas,1974.044
118,Historic,2018,2018,BG,Lignite,19604.746
119,Historic,2018,2018,BG,Nuclear,16121.774
120,Historic,2018,2018,BG,Other,32.147
121,Historic,2018,2018,BG,PSP,253.766
122,Historic,2018,2018,BG,RoR,1626.871
123,Historic,2018,2018,BG,Solar,1205.778
124,Historic,2018,2018,BG,WindOn,1272.796
164,Historic,2018,2018,CH,Dam,10290.77665
165,Historic,2018,2018,CH,Nuclear,24806.6841
166,Historic,2018,2018,CH,PSP,6885.73198
167,Historic,2018,2018,CH,RoR,1534.20161
168,Historic,2018,2018,CH,Solar,352.85781
169,Historic,2018,2018,CH,WindOn,57.5417
200,Historic,2018,2018,CZ,Biomass,2253.37395
201,Historic,2018,2018,CZ,Coal,3487.47778
202,Historic,2018,2018,CZ,Dam,1000.6601
203,Historic,2018,2018,CZ,Gas,5018.23542
204,Historic,2018,2018,CZ,Lignite,33729.31889
205,Historic,2018,2018,CZ,Nuclear,28229.74483
206,Historic,2018,2018,CZ,Oil,51.10186
207,Historic,2018,2018,CZ,Other,3546.07161
208,Historic,2018,2018,CZ,PSP,1041.60686
209,Historic,2018,2018,CZ,RoR,745.03003
210,Historic,2018,2018,CZ,Solar,2330.902
211,Historic,2018,2018,CZ,WindOn,605.86687
261,Historic,2018,2018,DE,Biomass,40184.83301
262,Historic,2018,2018,DE,Coal,71546.32048
263,Historic,2018,2018,DE,Dam,902.355095
264,Historic,2018,2018,DE,Gas,46543.76876
265,Historic,2018,2018,DE,Lignite,128361.3305
266,Historic,2018,2018,DE,Nuclear,71844.74911
267,Historic,2018,2018,DE,Oil,2797.441108
268,Historic,2018,2018,DE,Other,10633.40254
269,Historic,2018,2018,DE,PSP,10628.88653
270,Historic,2018,2018,DE,RoR,14354.96642
271,Historic,2018,2018,DE,Solar,41231.96679
272,Historic,2018,2018,DE,WindOff,19075.45252
273,Historic,2018,2018,DE,WindOn,89488.83688
321,Historic,2018,2018,DK,Biomass,3844.08448
322,Historic,2018,2018,DK,Coal,6426.42294
323,Historic,2018,2018,DK,Gas,2843.75158
324,Historic,2018,2018,DK,Oil,205.14996
325,Historic,2018,2018,DK,Other,1239.11711
326,Historic,2018,2018,DK,Solar,964.14774
327,Historic,2018,2018,DK,WindOff,4436.50912
328,Historic,2018,2018,DK,WindOn,9513.77913
360,Historic,2018,2018,EE,Biomass,550.2414
361,Historic,2018,2018,EE,Gas,482.4776
362,Historic,2018,2018,EE,Oil,8256.5451
363,Historic,2018,2018,EE,Other,175.6396
364,Historic,2018,2018,EE,RoR,26.6511
365,Historic,2018,2018,EE,Solar,5.9878
366,Historic,2018,2018,EE,WindOn,612.6838
401,Historic,2018,2018,ES,Biomass,2950.992
402,Historic,2018,2018,ES,Coal,32343.229
403,Historic,2018,2018,ES,Dam,25411.295
404,Historic,2018,2018,ES,Gas,50964.129
405,Historic,2018,2018,ES,Lignite,3090.711
406,Historic,2018,2018,ES,Nuclear,53272.325
407,Historic,2018,2018,ES,Oil,2471.836
408,Historic,2018,2018,ES,Other,3942.151
409,Historic,2018,2018,ES,PSP,0
410,Historic,2018,2018,ES,RoR,10716.699
