year,country_sym,technology,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2040,PL,Lignite,0.66,0.66,0.63,0.58,0.61,0.63,0.69,0.65,0.64,0.59,0.64,0.61
2040,SI,Lignite,0.65,0.59,0.54,0.43,0.34,0.34,0.57,0.53,0.51,0.6,0.56,0.54
2040,SK,Lignite,0.55,0.54,0.49,0.41,0.38,0.38,0.37,0.29,0.3,0.47,0.53,0.55
2040,CH, Biomass ,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65
2040,CH, Coal ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2040,CH,Gas,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2040,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2040,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2040,CH, Oil ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2040,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2040,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
