,scenario,year,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
156,Historic,2017,HR,Oil,Oil,YES,950,0.4,0.28,1.5,0,HR_Oil
157,Historic,2017,HR,Other,Other,NO,45,0.45,0.375,0,0,HR_Other
158,Historic,2017,HR,PSClosed,Hydro,NO,0,0.75,0,0,0,HR_PSClosed
159,Historic,2017,HR,PSOpen,Hydro,NO,297.8798587,0.75,0,0,0,HR_PSOpen
160,Historic,2017,HR,RoR,Hydro,NO,421,1,0,2.6,0,HR_RoR
161,Historic,2017,HR,Solar,RES,NO,51,1,0,0,0,HR_Solar
162,Historic,2017,HR,WindOn,RES,NO,537,1,0,0,0,HR_WindOn
163,Historic,2017,HU,Biomass,Biomass,YES,245.95,0.36,0,2.6,0,HU_Biomass
164,Historic,2017,HU,Dam,Hydro,NO,28,1,0,2.6,0,HU_Dam
165,Historic,2017,HU,Gas,Gas,YES,4113.72,0.53,0.205,4.6,0,HU_Gas
166,Historic,2017,HU,Lignite,Lignite,YES,1048.87,0.37,0.364,8.3,0,HU_Lignite
167,Historic,2017,HU,Nuclear,Uran,NO,1886.79,0.36,0,1.8,0,HU_Nuclear
168,Historic,2017,HU,Oil,Oil,YES,410,0.4,0.28,1.5,0,HU_Oil
169,Historic,2017,HU,Other,Other,NO,91.98,0.45,0.375,0,0,HU_Other
170,Historic,2017,HU,PSClosed,Hydro,NO,0,0.75,0,0,0,HU_PSClosed
171,Historic,2017,HU,PSOpen,Hydro,NO,0,0.75,0,0,0,HU_PSOpen
172,Historic,2017,HU,RoR,Hydro,NO,27.98,1,0,2.6,0,HU_RoR
173,Historic,2017,HU,Solar,RES,NO,69.73,1,0,0,0,HU_Solar
174,Historic,2017,HU,WindOn,RES,NO,324.25,1,0,0,0,HU_WindOn
175,Historic,2017,IE,Coal,Coal,YES,1369,0.38,0.349,6.6,0,IE_Coal
176,Historic,2017,IE,Dam,Hydro,NO,0,1,0,2.6,0,IE_Dam
177,Historic,2017,IE,Gas,Gas,YES,5814,0.53,0.205,4.6,0,IE_Gas
178,Historic,2017,IE,Oil,Oil,YES,1931.6,0.4,0.28,1.5,0,IE_Oil
179,Historic,2017,IE,Other,Other,NO,804,0.45,0.375,0,0,IE_Other
180,Historic,2017,IE,PSClosed,Hydro,NO,292,0.75,0,0,0,IE_PSClosed
181,Historic,2017,IE,PSOpen,Hydro,NO,0,0.75,0,0,0,IE_PSOpen
182,Historic,2017,IE,RoR,Hydro,NO,216,1,0,2.6,0,IE_RoR
183,Historic,2017,IE,WindOn,RES,NO,2569.43,1,0,0,0,IE_WindOn
184,Historic,2017,IT,Biomass,Biomass,YES,1625,0.36,0,2.6,0,IT_Biomass
185,Historic,2017,IT,Coal,Coal,YES,7902,0.38,0.349,6.6,0,IT_Coal
186,Historic,2017,IT,Dam,Hydro,NO,11301.39519,1,0,2.6,0,IT_Dam
