,scenario,year,climateyear,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
440,Historic,2018,2018,GB,PSOpen,Hydro,NO,0.0,0.75,0.0,0.0,0.0,GB_PSOpen
441,Historic,2018,2018,GB,RoR,Hydro,NO,1758.0,1.0,0.0,2.6,0.0,GB_RoR
442,Historic,2018,2018,GB,Solar,RES,NO,12471.0,1.0,0.0,0.0,0.0,GB_Solar
443,Historic,2018,2018,GB,WindOff,RES,NO,6071.0,1.0,0.0,0.0,0.0,GB_WindOff
444,Historic,2018,2018,GB,WindOn,RES,NO,12144.0,1.0,0.0,0.0,0.0,GB_WindOn
445,Historic,2018,2018,GR,Biomass,Biomass,YES,51.0,0.45,0.0,2.6,0.0,GR_Biomass
446,Historic,2018,2018,GR,Dam,Hydro,NO,2471.0,1.0,0.0,2.6,0.0,GR_Dam
447,Historic,2018,2018,GR,Gas,Gas,YES,5245.0,0.6,0.227848,4.6,0.0,GR_Gas
448,Historic,2018,2018,GR,Lignite,Lignite,YES,3912.0,0.43,0.485379,8.3,0.0,GR_Lignite
449,Historic,2018,2018,GR,Oil,Oil,YES,0.0,0.4,0.32,1.5,0.0,GR_Oil
450,Historic,2018,2018,GR,Other,Other,NO,69.0,0.45,0.375,0.0,0.0,GR_Other
451,Historic,2018,2018,GR,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,GR_PSClosed
452,Historic,2018,2018,GR,PSOpen,Hydro,NO,735.0,0.75,0.0,0.0,0.0,GR_PSOpen
453,Historic,2018,2018,GR,RoR,Hydro,NO,299.0,1.0,0.0,2.6,0.0,GR_RoR
454,Historic,2018,2018,GR,Solar,RES,NO,2441.0,1.0,0.0,0.0,0.0,GR_Solar
455,Historic,2018,2018,GR,WindOn,RES,NO,2228.0,1.0,0.0,0.0,0.0,GR_WindOn
456,Historic,2018,2018,HR,Biomass,Biomass,YES,52.0,0.45,0.0,2.6,0.0,HR_Biomass
457,Historic,2018,2018,HR,Coal,Coal,YES,325.0,0.46,0.383333,6.6,0.0,HR_Coal
458,Historic,2018,2018,HR,Dam,Hydro,NO,1353.2033426183843,1.0,0.0,2.6,0.0,HR_Dam
459,Historic,2018,2018,HR,Gas,Gas,YES,743.0,0.6,0.227848,4.6,0.0,HR_Gas
460,Historic,2018,2018,HR,Oil,Oil,YES,950.0,0.4,0.32,1.5,0.0,HR_Oil
461,Historic,2018,2018,HR,Other,Other,NO,52.0,0.45,0.375,0.0,0.0,HR_Other
462,Historic,2018,2018,HR,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,HR_PSClosed
463,Historic,2018,2018,HR,PSOpen,Hydro,NO,297.8798586572438,0.75,0.0,0.0,0.0,HR_PSOpen
464,Historic,2018,2018,HR,RoR,Hydro,NO,421.0,1.0,0.0,2.6,0.0,HR_RoR
465,Historic,2018,2018,HR,Solar,RES,NO,52.0,1.0,0.0,0.0,0.0,HR_Solar
466,Historic,2018,2018,HR,WindOn,RES,NO,582.0,1.0,0.0,0.0,0.0,HR_WindOn
467,Historic,2018,2018,HU,Biomass,Biomass,YES,250.85,0.45,0.0,2.6,0.0,HU_Biomass
468,Historic,2018,2018,HU,Dam,Hydro,NO,28.16,1.0,0.0,2.6,0.0,HU_Dam
469,Historic,2018,2018,HU,Gas,Gas,YES,4106.94,0.6,0.227848,4.6,0.0,HU_Gas
470,Historic,2018,2018,HU,Lignite,Lignite,YES,1048.87,0.43,0.485379,8.3,0.0,HU_Lignite
471,Historic,2018,2018,HU,Nuclear,Uran,NO,1898.87,0.43,0.0,11.25,0.0,HU_Nuclear
472,Historic,2018,2018,HU,Oil,Oil,YES,412.06,0.4,0.32,1.5,0.0,HU_Oil
473,Historic,2018,2018,HU,Other,Other,NO,103.96,0.45,0.375,0.0,0.0,HU_Other
474,Historic,2018,2018,HU,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,HU_PSClosed
475,Historic,2018,2018,HU,PSOpen,Hydro,NO,0.0,0.75,0.0,0.0,0.0,HU_PSOpen
476,Historic,2018,2018,HU,RoR,Hydro,NO,28.04,1.0,0.0,2.6,0.0,HU_RoR
477,Historic,2018,2018,HU,Solar,RES,NO,335.55,1.0,0.0,0.0,0.0,HU_Solar
478,Historic,2018,2018,HU,WindOn,RES,NO,324.9,1.0,0.0,0.0,0.0,HU_WindOn
479,Historic,2018,2018,IE,Coal,Coal,YES,1369.0,0.46,0.383333,6.6,0.0,IE_Coal
480,Historic,2018,2018,IE,Dam,Hydro,NO,0.0,1.0,0.0,2.6,0.0,IE_Dam
481,Historic,2018,2018,IE,Gas,Gas,YES,5814.0,0.6,0.227848,4.6,0.0,IE_Gas
482,Historic,2018,2018,IE,Oil,Oil,YES,1931.6,0.4,0.32,1.5,0.0,IE_Oil
483,Historic,2018,2018,IE,Other,Other,NO,826.13,0.45,0.375,0.0,0.0,IE_Other
484,Historic,2018,2018,IE,PSClosed,Hydro,NO,292.0,0.75,0.0,0.0,0.0,IE_PSClosed
485,Historic,2018,2018,IE,PSOpen,Hydro,NO,0.0,0.75,0.0,0.0,0.0,IE_PSOpen
486,Historic,2018,2018,IE,RoR,Hydro,NO,216.0,1.0,0.0,2.6,0.0,IE_RoR
487,Historic,2018,2018,IE,Solar,RES,NO,92.42,1.0,0.0,0.0,0.0,IE_Solar
488,Historic,2018,2018,IE,WindOn,RES,NO,2914.88,1.0,0.0,0.0,0.0,IE_WindOn
489,Historic,2018,2018,IT,Biomass,Biomass,YES,1354.0,0.45,0.0,2.6,0.0,IT_Biomass
490,Historic,2018,2018,IT,Coal,Coal,YES,6030.0,0.46,0.383333,6.6,0.0,IT_Coal
491,Historic,2018,2018,IT,Dam,Hydro,NO,12226.172214156079,1.0,0.0,2.6,0.0,IT_Dam
492,Historic,2018,2018,IT,Gas,Gas,YES,41128.0,0.6,0.227848,4.6,0.0,IT_Gas
493,Historic,2018,2018,IT,Lignite,Lignite,YES,0.0,0.43,0.485379,8.3,0.0,IT_Lignite
494,Historic,2018,2018,IT,Oil,Oil,YES,2475.0,0.4,0.32,1.5,0.0,IT_Oil
495,Historic,2018,2018,IT,Other,Other,NO,6801.0,0.45,0.375,0.0,0.0,IT_Other
496,Historic,2018,2018,IT,PSClosed,Hydro,NO,3416.4945867441247,0.75,0.0,0.0,0.0,IT_PSClosed
