,country_sym,week,dam_inflow_MWh,pump_inflow_MWh
320,ES,w3,140729.0,3920.0
321,ES,w4,254460.0,4099.0
322,ES,w5,280639.0,3637.0
323,ES,w6,104075.0,1618.0
324,ES,w7,253739.0,7427.0
325,ES,w8,670641.0,14476.0
326,ES,w9,439685.0,6245.0
327,ES,w10,301119.0,3049.0
328,ES,w11,209226.0,1094.0
329,ES,w12,262130.99999999997,4506.0
330,ES,w13,154981.0,3204.0
331,ES,w14,85937.0,1437.0
332,ES,w15,135146.0,2907.0
333,ES,w16,161732.0,4196.0
334,ES,w17,196285.0,4727.0
335,ES,w18,157140.0,4535.0
336,ES,w19,136957.0,2847.0
337,ES,w20,132681.0,3312.0
338,ES,w21,114474.0,3666.0
339,ES,w22,160721.0,4915.0
340,ES,w23,192011.0,6080.0
341,ES,w24,187848.0,7607.0
342,ES,w25,216384.0,7468.0
343,ES,w26,226065.0,7962.0
344,ES,w27,198136.0,6083.0
345,ES,w28,186966.0,6334.0
346,ES,w29,207474.0,6317.0
347,ES,w30,226923.0,5904.0
348,ES,w31,231835.0,6077.0
349,ES,w32,235406.0,6033.0
350,ES,w33,233899.0,5902.0
351,ES,w34,234744.0,6023.0
352,ES,w35,230629.0,5926.0
353,ES,w36,190987.0,3518.0
354,ES,w37,217152.0,4896.0
355,ES,w38,217255.0,3903.0
356,ES,w39,229169.0,4250.0
357,ES,w40,228637.0,4649.0
358,ES,w41,232670.0,5085.0
359,ES,w42,237025.0,5265.0
360,ES,w43,158890.0,2469.0
361,ES,w44,187542.0,2589.0
362,ES,w45,178541.0,4083.0
363,ES,w46,149724.0,2541.0
364,ES,w47,172008.0,3790.0
365,ES,w48,171973.0,4094.0000000000005
366,ES,w49,205838.0,7833.0
367,ES,w50,172750.0,4713.0
368,ES,w51,204035.0,8704.0
369,ES,w52,182646.0,3673.0
370,ES,w53,148307.0,2681.0
371,FI,w1,299300.0,0.0
372,FI,w2,218100.0,0.0
373,FI,w3,211600.0,0.0
374,FI,w4,167200.0,0.0
375,FI,w5,208900.0,0.0
376,FI,w6,170700.0,0.0
377,FI,w7,253800.0,0.0
378,FI,w8,184800.0,0.0
379,FI,w9,166200.0,0.0
380,FI,w10,147800.0,0.0
381,FI,w11,155000.0,0.0
382,FI,w12,127600.0,0.0
383,FI,w13,135200.0,0.0
384,FI,w14,187000.0,0.0
385,FI,w15,313300.0,0.0
386,FI,w16,413800.0,0.0
387,FI,w17,514900.0,0.0
388,FI,w18,750700.0,0.0
389,FI,w19,998300.0,0.0
390,FI,w20,781100.0,0.0
391,FI,w21,528500.0,0.0
392,FI,w22,420200.0,0.0
393,FI,w23,276700.0,0.0
394,FI,w24,290600.0,0.0
395,FI,w25,348900.0,0.0
396,FI,w26,326800.0,0.0
397,FI,w27,240600.0,0.0
398,FI,w28,398800.0,0.0
399,FI,w29,331900.0,0.0
400,FI,w30,239000.0,0.0
401,FI,w31,252500.0,0.0
402,FI,w32,337800.0,0.0
403,FI,w33,250700.0,0.0
404,FI,w34,324600.0,0.0
405,FI,w35,333900.0,0.0
406,FI,w36,339100.0,0.0
407,FI,w37,264100.0,0.0
408,FI,w38,261600.00000000003,0.0
409,FI,w39,197800.0,0.0
410,FI,w40,276000.0,0.0
411,FI,w41,217400.0,0.0
412,FI,w42,154900.0,0.0
413,FI,w43,160400.0,0.0
414,FI,w44,180500.0,0.0
415,FI,w45,170200.0,0.0
416,FI,w46,116800.0,0.0
417,FI,w47,172800.0,0.0
418,FI,w48,288900.0,0.0
419,FI,w49,247200.0,0.0
420,FI,w50,199600.0,0.0
421,FI,w51,172300.0,0.0
422,FI,w52,197500.0,0.0
423,FI,w53,202100.0,0.0
424,FR,w1,382014.0,0.0
425,FR,w2,385321.0,0.0
426,FR,w3,463913.0,0.0
427,FR,w4,524087.0,0.0
428,FR,w5,281747.0,0.0
429,FR,w6,292179.0,0.0
430,FR,w7,257902.0,0.0
431,FR,w8,246696.0,0.0
432,FR,w9,238753.0,0.0
433,FR,w10,285785.0,0.0
434,FR,w11,286708.0,0.0
435,FR,w12,255825.0,0.0
436,FR,w13,257849.0,0.0
437,FR,w14,264789.0,0.0
438,FR,w15,201963.0,0.0
439,FR,w16,193114.0,0.0
440,FR,w17,180928.0,0.0
441,FR,w18,213278.0,0.0
442,FR,w19,239476.0,0.0
443,FR,w20,280589.0,0.0
444,FR,w21,299188.0,0.0
445,FR,w22,289729.0,0.0
446,FR,w23,284173.0,0.0
447,FR,w24,289406.0,0.0
448,FR,w25,249738.0,0.0
449,FR,w26,218315.0,0.0
450,FR,w27,212500.0,0.0
451,FR,w28,206946.0,0.0
452,FR,w29,203808.0,0.0
453,FR,w30,201695.0,0.0
454,FR,w31,202272.0,0.0
455,FR,w32,194454.0,0.0
456,FR,w33,200248.0,0.0
457,FR,w34,201533.0,0.0
458,FR,w35,196961.0,0.0
459,FR,w36,189435.0,0.0
460,FR,w37,199935.0,0.0
461,FR,w38,214300.0,0.0
462,FR,w39,208255.0,0.0
463,FR,w40,202063.0,0.0
464,FR,w41,205491.0,0.0
465,FR,w42,205188.0,0.0
466,FR,w43,196204.0,0.0
467,FR,w44,208699.0,0.0
468,FR,w45,224458.0,0.0
