country_sym,week,PSClosed,PSOpen,Dam
ES,w23,0.434338279,0.434338279,0.434338279
ES,w24,0.423468232,0.423468232,0.423468232
ES,w25,0.414985033,0.414985033,0.414985033
ES,w26,0.410613691,0.410613691,0.410613691
ES,w27,0.405026313,0.405026313,0.405026313
ES,w28,0.396337179,0.396337179,0.396337179
ES,w29,0.386287396,0.386287396,0.386287396
ES,w30,0.374558849,0.374558849,0.374558849
ES,w31,0.364071248,0.364071248,0.364071248
ES,w32,0.354500706,0.354500706,0.354500706
ES,w33,0.34429091,0.34429091,0.34429091
ES,w34,0.334466747,0.334466747,0.334466747
ES,w35,0.324042574,0.324042574,0.324042574
ES,w36,0.31279127,0.31279127,0.31279127
ES,w37,0.299243554,0.299243554,0.299243554
ES,w38,0.287702964,0.287702964,0.287702964
ES,w39,0.280284962,0.280284962,0.280284962
ES,w40,0.27403933,0.27403933,0.27403933
ES,w41,0.268182286,0.268182286,0.268182286
ES,w42,0.263888185,0.263888185,0.263888185
ES,w43,0.25986472,0.25986472,0.25986472
ES,w44,0.256967929,0.256967929,0.256967929
ES,w45,0.254262336,0.254262336,0.254262336
ES,w46,0.249635802,0.249635802,0.249635802
ES,w47,0.24433139,0.24433139,0.24433139
ES,w48,0.238624819,0.238624819,0.238624819
ES,w49,0.249504046,0.249504046,0.249504046
ES,w50,0.258563301,0.258563301,0.258563301
ES,w51,0.264085747,0.264085747,0.264085747
ES,w52,0.26483704,0.26483704,0.26483704
FI,w1,0,0,0.604149445
FI,w2,0,0,0.58410725
FI,w3,0,0,0.559463532
FI,w4,0,0,0.533531387
FI,w5,0,0,0.504413158
FI,w6,0,0,0.483376389
FI,w7,0,0,0.467694609
FI,w8,0,0,0.447452209
FI,w9,0,0,0.424293895
FI,w10,0,0,0.408327951
FI,w11,0,0,0.387831525
FI,w12,0,0,0.371238052
FI,w13,0,0,0.361508654
FI,w14,0,0,0.359755231
FI,w15,0,0,0.353979377
FI,w16,0,0,0.353599414
FI,w17,0,0,0.374640489
FI,w18,0,0,0.392461035
FI,w19,0,0,0.428491776
FI,w20,0,0,0.531483036
FI,w21,0,0,0.609877939
FI,w22,0,0,0.662943469
FI,w23,0,0,0.689891716
FI,w24,0,0,0.705161242
FI,w25,0,0,0.712928399
FI,w26,0,0,0.707459313
FI,w27,0,0,0.716180143
FI,w28,0,0,0.724367089
FI,w29,0,0,0.720110006
FI,w30,0,0,0.719783863
FI,w31,0,0,0.721276802
FI,w32,0,0,0.716131706
FI,w33,0,0,0.706262378
FI,w34,0,0,0.707472229
FI,w35,0,0,0.702261474
FI,w36,0,0,0.725893395
FI,w37,0,0,0.731738138
FI,w38,0,0,0.724157195
FI,w39,0,0,0.720475975
FI,w40,0,0,0.721457634
FI,w41,0,0,0.72508611
FI,w42,0,0,0.724754585
FI,w43,0,0,0.716281323
FI,w44,0,0,0.726680229
FI,w45,0,0,0.736294454
FI,w46,0,0,0.737305175
FI,w47,0,0,0.736481745
FI,w48,0,0,0.737424653
FI,w49,0,0,0.734688496
FI,w50,0,0,0.731406613
FI,w51,0,0,0.730460475
FI,w52,0,0,0.730379747
FR,w1,0.152431811,0.152431811,0.152431811
FR,w2,0.136173665,0.136173665,0.136173665
FR,w3,0.103205585,0.103205585,0.103205585
FR,w4,0.091003224,0.091003224,0.091003224
FR,w5,0.095210947,0.095210947,0.095210947
FR,w6,0.093295108,0.093295108,0.093295108
FR,w7,0.092670152,0.092670152,0.092670152
FR,w8,0.08489709,0.08489709,0.08489709
FR,w9,0.084602176,0.084602176,0.084602176
FR,w10,0.086202355,0.086202355,0.086202355
FR,w11,0.084630599,0.084630599,0.084630599
FR,w12,0.083475879,0.083475879,0.083475879
FR,w13,0.083151023,0.083151023,0.083151023
FR,w14,0.084738159,0.084738159,0.084738159
FR,w15,0.086217812,0.086217812,0.086217812
FR,w16,0.089511036,0.089511036,0.089511036
FR,w17,0.091472023,0.091472023,0.091472023
FR,w18,0.099298718,0.099298718,0.099298718
FR,w19,0.113509493,0.113509493,0.113509493
FR,w20,0.12997345,0.12997345,0.12997345
FR,w21,0.158660008,0.158660008,0.158660008
FR,w22,0.185047197,0.185047196,0.185047196
FR,w23,0.202497346,0.202497346,0.202497346
FR,w24,0.219855542,0.219855542,0.219855542
FR,w25,0.233393635,0.233393634,0.233393634
FR,w26,0.241815306,0.241815306,0.241815306
FR,w27,0.244307928,0.244307928,0.244307928
FR,w28,0.244749698,0.244749698,0.244749698
FR,w29,0.248455018,0.248455018,0.248455018
FR,w30,0.250655899,0.250655899,0.250655899
FR,w31,0.252294971,0.252294971,0.252294971
FR,w32,0.251944854,0.251944854,0.251944854
FR,w33,0.250122224,0.250122224,0.250122224
FR,w34,0.247300291,0.247300291,0.247300291
FR,w35,0.246019018,0.246019018,0.246019018
FR,w36,0.24280358,0.24280358,0.24280358
FR,w37,0.239722322,0.239722322,0.239722322
FR,w38,0.234186464,0.234186464,0.234186464
FR,w39,0.229377841,0.229377841,0.229377841
FR,w40,0.223320918,0.223320918,0.223320918
FR,w41,0.219244935,0.219244935,0.219244935
FR,w42,0.21661786,0.21661786,0.21661786
FR,w43,0.214250955,0.214250955,0.214250955
FR,w44,0.20706951,0.20706951,0.20706951
FR,w45,0.198177199,0.198177199,0.198177199
FR,w46,0.186166391,0.186166391,0.186166391
FR,w47,0.178010151,0.178010151,0.178010151
FR,w48,0.155692295,0.155692295,0.155692295
FR,w49,0.148853609,0.148853609,0.148853609
FR,w50,0.145456479,0.145456479,0.145456479
FR,w51,0.147397258,0.147397258,0.147397258
FR,w52,0.147823663,0.147823663,0.147823663
GR,w1,0,0,0
GR,w2,0,0,0
GR,w3,0,0,0
GR,w4,0,0,0
GR,w5,0,0,0
GR,w6,0,0,0
GR,w7,0,0,0
GR,w8,0,0,0
GR,w9,0,0,0
GR,w10,0,0,0
GR,w11,0,0,0
GR,w12,0,0,0
GR,w13,0,0,0
GR,w14,0,0,0
GR,w15,0,0,0
GR,w16,0,0,0
GR,w17,0,0,0
GR,w18,0,0,0
GR,w19,0,0,0
GR,w20,0,0,0
GR,w21,0,0,0
GR,w22,0,0,0
GR,w23,0,0,0
GR,w24,0,0,0
GR,w25,0,0,0
GR,w26,0,0,0
GR,w27,0,0,0
GR,w28,0,0,0
GR,w29,0,0,0
GR,w30,0,0,0
GR,w31,0,0,0
GR,w32,0,0,0
GR,w33,0,0,0
GR,w34,0,0,0
GR,w35,0,0,0
GR,w36,0,0,0
GR,w37,0,0,0
GR,w38,0,0.371726066,0.371726066
GR,w39,0,0.364195417,0.364195417
GR,w40,0,0.353120237,0.353120237
GR,w41,0,0.343375174,0.343375174
GR,w42,0,0.335773271,0.335773271
GR,w43,0,0.326794507,0.326794507
GR,w44,0,0.315365786,0.315365787
GR,w45,0,0.318092245,0.318092245
GR,w46,0,0.328054641,0.328054641
GR,w47,0,0.352555821,0.352555821
GR,w48,0,0.425452797,0.425452797
GR,w49,0,0.451494195,0.451494195
GR,w50,0,0.464836797,0.464836797
GR,w51,0,0.481603751,0.481603751
GR,w52,0,0.484202026,0.484202026
HR,w1,0,0.266534683,0.266534683
HR,w2,0,0.252643968,0.252643968
HR,w3,0,0.235647414,0.235647414
HR,w4,0,0.245616773,0.245616773
HR,w5,0,0.284736275,0.284736275
HR,w6,0,0.287399015,0.287399015
HR,w7,0,0.298591089,0.298591089
HR,w8,0,0.341808829,0.341808829
HR,w9,0,0.406130185,0.406130185
HR,w10,0,0.422670001,0.422670001
HR,w11,0,0.421543426,0.421543426
HR,w12,0,0.418845246,0.418845246
HR,w13,0,0.414096721,0.414096721
HR,w14,0,0.405910309,0.405910309
HR,w15,0,0.400249203,0.400249203
HR,w16,0,0.407477992,0.407477992
HR,w17,0,0.417217122,0.417217122
HR,w18,0,0.422918685,0.422918685
HR,w19,0,0.424555316,0.424555316
HR,w20,0,0.422126265,0.422126265
HR,w21,0,0.414730139,0.414730139
HR,w22,0,0.406147285,0.406147285
HR,w23,0,0.397420077,0.397420077
HR,w24,0,0.386825001,0.386825001
HR,w25,0,0.378697184,0.378697184
HR,w26,0,0.366377151,0.366377151
HR,w27,0,0.353144046,0.353144046
HR,w28,0,0.335807888,0.335807888
HR,w29,0,0.291580792,0.291580792
HR,w30,0,0.288590414,0.288590414
HR,w31,0,0.272884168,0.272884168
HR,w32,0,0.256552492,0.256552492
HR,w33,0,0.242076834,0.242076834
HR,w34,0,0.228427824,0.228427824
HR,w35,0,0.216445464,0.216445464
HR,w36,0,0.225181063,0.225181063
HR,w37,0,0.236917738,0.236917738
HR,w38,0,0.236035003,0.236035003
HR,w39,0,0.219561943,0.219561943
HR,w40,0,0.206741629,0.206741629
HR,w41,0,0.197113779,0.197113779
HR,w42,0,0.194343075,0.194343075
HR,w43,0,0.189010905,0.189010905
HR,w44,0,0.202949719,0.202949719
HR,w45,0,0.212012004,0.212012004
HR,w46,0,0.216454345,0.216454345
HR,w47,0,0.246455014,0.246455014
HR,w48,0,0.253095544,0.253095544
HR,w49,0,0.302267078,0.302267078
HR,w50,0,0.317897946,0.317897946
HR,w51,0,0.359390182,0.359390182
HR,w52,0,0.366427672,0.366427672
IT,w1,0.463664876,0.463664876,0.463664876
IT,w2,0.433963042,0.433963042,0.433963042
IT,w3,0.419345717,0.419345717,0.419345717
IT,w4,0.389132697,0.389132697,0.389132697
IT,w5,0.390205329,0.390205329,0.390205329
IT,w6,0.38805079,0.38805079,0.38805079
IT,w7,0.35576053,0.35576053,0.35576053
IT,w8,0.366417685,0.366417685,0.366417685
IT,w9,0.368826757,0.368826757,0.368826757
IT,w10,0.37039588,0.37039588,0.37039588
IT,w11,0.361446919,0.36144692,0.36144692
IT,w12,0.358877564,0.358877564,0.358877564
IT,w13,0.355913575,0.355913575,0.355913575
IT,w14,0.355424573,0.355424573,0.355424573
IT,w15,0.35415764,0.35415764,0.35415764
IT,w16,0.371765733,0.371765733,0.371765733
IT,w17,0.366206763,0.366206763,0.366206763
IT,w18,0.370211327,0.370211327,0.370211327
IT,w19,0.388778248,0.388778248,0.388778248
IT,w20,0.415702764,0.415702764,0.415702764
IT,w21,0.448001861,0.448001861,0.448001861
IT,w22,0.471868986,0.471868986,0.471868986
IT,w23,0.535120802,0.535120802,0.535120802
IT,w24,0.569054921,0.569054921,0.569054921
IT,w25,0.587434432,0.587434432,0.587434432
IT,w26,0.592693394,0.592693394,0.592693394
IT,w27,0.619105752,0.619105752,0.619105752
IT,w28,0.62491212,0.62491212,0.62491212
IT,w29,0.623020726,0.623020726,0.623020726
IT,w30,0.606153037,0.606153037,0.606153037
IT,w31,0.607017946,0.607017946,0.607017946
IT,w32,0.61109243,0.61109243,0.61109243
IT,w33,0.614636872,0.614636872,0.614636872
IT,w34,0.601435689,0.601435689,0.601435689
IT,w35,0.601861118,0.601861118,0.601861118
IT,w36,0.602516283,0.602516283,0.602516283
IT,w37,0.59993895,0.59993895,0.59993895
IT,w38,0.58648886,0.58648886,0.58648886
IT,w39,0.570946909,0.570946909,0.570946909
IT,w40,0.564323455,0.564323455,0.564323455
IT,w41,0.552166309,0.552166309,0.552166309
IT,w42,0.541617927,0.541617927,0.541617927
IT,w43,0.534345248,0.534345248,0.534345248
IT,w44,0.524025765,0.524025765,0.524025765
IT,w45,0.514954965,0.514954965,0.514954965
IT,w46,0.506783993,0.506783993,0.506783993
IT,w47,0.498203007,0.498203007,0.498203007
IT,w48,0.489949027,0.489949027,0.489949027
IT,w49,0.490653779,0.490653779,0.490653779
IT,w50,0.49420778,0.49420778,0.49420778
IT,w51,0.490998387,0.490998387,0.490998387
IT,w52,0.490338951,0.490338951,0.490338951
NO,w1,0,0.579241202,0
NO,w2,0,0.5602288,0
NO,w3,0,0.540783655,0
NO,w4,0,0.51300957,0
NO,w5,0,0.481436686,0
NO,w6,0,0.453041513,0
NO,w7,0,0.43264376,0
NO,w8,0,0.408670321,0
NO,w9,0,0.38045049,0
NO,w10,0,0.360758279,0
NO,w11,0,0.341564581,0
NO,w12,0,0.330312113,0
NO,w13,0,0.325423828,0
NO,w14,0,0.318346097,0
NO,w15,0,0.303110592,0
NO,w16,0,0.28193263,0
NO,w17,0,0.271878948,0
NO,w18,0,0.267169973,0
NO,w19,0,0.320371835,0
NO,w20,0,0.380427426,0
NO,w21,0,0.429486102,0
NO,w22,0,0.504875887,0
NO,w23,0,0.567806755,0
NO,w24,0,0.610699176,0
NO,w25,0,0.63708442,0
NO,w26,0,0.652696478,0
NO,w27,0,0.672055184,0
NO,w28,0,0.688665568,0
NO,w29,0,0.70709254,0
NO,w30,0,0.732036381,0
NO,w31,0,0.749148221,0
NO,w32,0,0.763823959,0
NO,w33,0,0.76655257,0
NO,w34,0,0.763285136,0
NO,w35,0,0.768147825,0
NO,w36,0,0.783673444,0
NO,w37,0,0.784351816,0
NO,w38,0,0.783036547,0
NO,w39,0,0.805432183,0
NO,w40,0,0.809915992,0
NO,w41,0,0.813973765,0
NO,w42,0,0.817847436,0
NO,w43,0,0.816338484,0
NO,w44,0,0.805172798,0
NO,w45,0,0.788104486,0
NO,w46,0,0.773305283,0
NO,w47,0,0.748574356,0
NO,w48,0,0.739405596,0
NO,w49,0,0.712920635,0
NO,w50,0,0.696529463,0
NO,w51,0,0.685157774,0
NO,w52,0,0.683534049,0
PT,w1,0,0.483661915,0.483661915
PT,w2,0,0.466221337,0.466221337
PT,w3,0,0.448596466,0.448596466
PT,w4,0,0.468028615,0.468028615
PT,w5,0,0.536562748,0.536562748
PT,w6,0,0.579443877,0.579443877
PT,w7,0,0.585878047,0.585878047
PT,w8,0,0.588298013,0.588298013
PT,w9,0,0.601232582,0.601232582
PT,w10,0,0.609796706,0.609796706
PT,w11,0,0.609819082,0.609819082
PT,w12,0,0.617442748,0.617442748
PT,w13,0,0.630746538,0.630746538
PT,w14,0,0.63237859,0.63237859
PT,w15,0,0.635647009,0.635647009
PT,w16,0,0.632837922,0.632837922
PT,w17,0,0.635283845,0.635283845
PT,w18,0,0.648258252,0.648258252
PT,w19,0,0.671524105,0.671524105
PT,w20,0,0.676480237,0.676480237
PT,w21,0,0.678333675,0.678333675
PT,w22,0,0.677801369,0.677801369
PT,w23,0,0.666549981,0.666549981
PT,w24,0,0.655867621,0.655867621
PT,w25,0,0.653529604,0.653529604
PT,w26,0,0.645681762,0.645681762
PT,w27,0,0.637214174,0.637214174
PT,w28,0,0.627838689,0.627838689
PT,w29,0,0.60816549,0.60816549
PT,w30,0,0.588018854,0.588018854
PT,w31,0,0.579681631,0.579681631
PT,w32,0,0.567857675,0.567857675
PT,w33,0,0.547409799,0.547409799
PT,w34,0,0.532156614,0.532156614
PT,w35,0,0.516907957,0.516907957
PT,w36,0,0.506455322,0.506455322
PT,w37,0,0.492528986,0.492528986
PT,w38,0,0.486162363,0.486162363
PT,w39,0,0.480058463,0.480058463
PT,w40,0,0.467659955,0.467659955
PT,w41,0,0.458810034,0.458810034
PT,w42,0,0.455557329,0.455557329
PT,w43,0,0.450569385,0.450569385
PT,w44,0,0.441575529,0.441575529
PT,w45,0,0.430424774,0.430424774
PT,w46,0,0.425979364,0.425979364
PT,w47,0,0.425117226,0.425117226
PT,w48,0,0.420394888,0.420394888
PT,w49,0,0.445304073,0.445304073
PT,w50,0,0.448528354,0.448528354
PT,w51,0,0.442242265,0.442242265
PT,w52,0,0.441182199,0.441182199
RO,w1,0,0.554417391,0.554417391
RO,w2,0,0.502550944,0.502550944
RO,w3,0,0.454555943,0.454555943
RO,w4,0,0.422796766,0.422796766
RO,w5,0,0.410638082,0.410638082
RO,w6,0,0.400426312,0.400426312
